split,idx,image_name,psnr,l1
train,119,000138,25.47658920288086,0.03391648083925247
train,120,000139,24.55860710144043,0.036398135125637054
train,121,000140,24.573965072631836,0.0350339338183403
train,122,000141,25.274755477905273,0.033135831356048584
train,123,000142,24.99016571044922,0.033131446689367294
train,124,000143,23.893964767456055,0.03894805163145065
train,125,000144,23.717199325561523,0.03910832107067108
train,126,000146,26.388473510742188,0.027572818100452423
train,127,000147,27.6157283782959,0.02459019236266613
train,128,000148,25.080059051513672,0.03397081792354584
train,129,000149,24.5139217376709,0.04081358760595322
train,130,000150,22.990867614746094,0.041703350841999054
train,131,000151,23.24512481689453,0.03730887547135353
train,132,000152,23.887569427490234,0.036557432264089584
train,133,000154,25.158550262451172,0.03165449574589729
train,134,000155,25.2974853515625,0.03317638114094734
train,135,000156,24.864429473876953,0.03683018684387207
train,136,000157,25.625396728515625,0.03385387361049652
train,137,000158,24.741788864135742,0.03346552327275276
train,138,000159,26.394546508789062,0.027204327285289764
train,139,000160,26.520309448242188,0.026653708890080452
train,140,000162,26.905258178710938,0.026540832594037056
train,141,000163,26.19703483581543,0.028325237333774567
train,142,000164,25.24995994567871,0.03235555440187454
train,143,000165,24.590591430664062,0.0306417103856802
train,144,000166,24.303375244140625,0.032542187720537186
train,145,000167,25.81978416442871,0.02839493565261364
train,146,000168,25.375213623046875,0.02931114099919796
train,147,000170,24.707382202148438,0.03206431493163109
train,148,000171,23.123205184936523,0.03640711307525635
train,149,000172,24.972152709960938,0.033396102488040924
train,150,000173,25.787084579467773,0.0299451295286417
train,151,000174,26.151500701904297,0.027380911633372307
train,152,000175,26.00629997253418,0.027757270261645317
train,153,000176,26.150005340576172,0.027942392975091934
train,154,000178,26.332090377807617,0.027952764183282852
train,155,000179,25.87337303161621,0.028248032554984093
train,156,000180,26.01678466796875,0.02770283818244934
train,157,000181,25.257335662841797,0.03018534556031227
train,158,000182,26.457630157470703,0.02763819508254528
train,159,000183,26.959781646728516,0.026228945702314377
train,160,000184,26.049434661865234,0.029602250084280968
train,161,000186,25.309019088745117,0.032604679465293884
train,162,000187,24.934383392333984,0.03287528455257416
train,163,000188,25.942352294921875,0.027513187378644943
train,164,000189,25.822139739990234,0.02793842926621437
train,165,000190,26.241750717163086,0.0279270950704813
train,166,000191,26.285558700561523,0.02833145298063755
